x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state
8,1,0.5,0.5,7,2,0.5,0.5,20,0
8,2,0.75,0.25,7,6,0.5,0.5,34,0
2,9,0.2,0.8,4,8,0.1,0.9,35,0
3,10,0.2,0.8,5,9,0.1,0.9,40,0
