x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state
6,1,0.5,0.5,4,3,0.5,0.5,6,0
1,9,0.6,0.4,5,1,0.8,0.2,8,0
7,1,0.2,0.8,4,2,0.1,0.9,10,0
1,9,0.2,0.8,8,2,0.9,0.1,10,0
