x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state
3,9,0.7,0.3,6,3,0.6,0.4,39,0
3,9,0.7,0.3,5,4,0.8,0.2,37,0
1,9,0.8,0.2,2,8,0.9,0.1,37,0
2,10,0.8,0.2,3,9,0.9,0.1,42,0
