x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state
1,9,0.7,0.3,4,1,0.8,0.2,19,0
8,2,0.4,0.6,5,3,0.7,0.3,20,0
2,9,0.5,0.5,8,3,0.5,0.5,24,0
2,9,0.5,0.5,8,3,0.5,0.5,29,0
4,9,0.5,0.5,7,5,0.75,0.25,32,0
1,2,0.7,0.3,7,8,0.7,0.3,35,0
1,9,0.2,0.8,8,2,0.9,0.1,29,0
1,9,0.2,0.8,8,2,0.9,0.1,34,0
