x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state
7,1,0.2,0.8,4,2,0.1,0.9,7,0
8,1,0.2,0.8,6,2,0.1,0.9,10,0
6,1,0.5,0.5,4,3,0.5,0.5,9,0
8,1,0.5,0.5,6,3,0.5,0.5,6,0
9,4,0.5,0.5,7,6,0.5,0.5,24,0
0,1,0.7,0.3,2,3,0.7,0.3,10,0
1,9,0.8,0.2,2,5,0.8,0.2,7,0
1,9,0.2,0.8,8,7,0.4,0.6,10,0
